"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,6.72284931506849,6.50489863013698,6.20747534246575,6.87844383561643,6.46268356164384,6.57163835616438,6.75302739726028,6.77618082191781,6.59739863013699,6.19763013698631,6.56722260273972
"2",1951,6.39264520547945,5.98771506849315,5.90235479452054,5.62679178082192,5.38911095890411,5.89013698630137,6.44059863013699,7.00013150684932,6.90078219178082,7.28517534246575,6.28154424657534
"3",1952,6.03964617486339,6.3570655737705,6.46549453551912,6.26424726775956,6.3829412568306,7.08651912568305,7.05031420765027,7.09010792349726,6.22180737704918,6.97632103825136,6.59344644808743
"4",1953,7.37059315068493,6.2501301369863,6.24523835616439,6.88723972602739,6.42851917808219,6.20223972602739,6.85158493150685,6.88726986301369,7.27945205479451,6.75325616438357,6.71555232876712
"5",1954,6.68629315068493,5.65817260273973,6.87426301369863,6.40172876712329,6.53644109589041,6.0846301369863,6.71977671232877,6.94981506849315,6.27153698630137,6.65200821917808,6.48346657534247
"6",1955,5.82739589041096,5.78758356164383,6.59345205479452,6.20323835616439,5.90968082191781,6.08083561643835,6.96845616438357,7.02490410958904,6.19597534246575,7.13207397260274,6.3723595890411
"7",1956,6.18759289617487,6.4342199453552,5.98980464480875,6.45738797814208,6.06483469945355,6.52099726775956,6.51721448087431,6.67117076502732,6.70171721311475,6.53541530054645,6.40803551912568
"8",1957,7.04363972602739,6.13740136986301,5.68703835616439,6.20230273972603,6.1494410958904,6.30903150684932,6.69788356164384,6.54896301369863,6.46690821917809,7.1564,6.43990095890411
"9",1958,6.68895342465754,5.9261904109589,6.12652739726027,5.98971917808218,5.99896164383561,5.92034794520548,6.41613424657534,6.49106575342465,6.18418493150684,6.71265068493151,6.24547356164384
"10",1959,6.60375753424658,6.58857534246575,6.72141095890412,6.24423287671233,7.11084794520547,6.22202602739726,6.25411369863014,6.13866575342466,5.89623287671233,6.89008219178082,6.46699452054795
"11",1960,5.84411338797814,5.98685655737704,6.64619535519126,6.29403825136612,6.49385245901639,6.75516120218579,6.49302732240437,6.23029644808743,7.00375683060109,6.743,6.44902978142076
"12",1961,6.85040273972603,5.91052465753425,6.64154931506849,6.06040958904109,6.78338767123288,5.88901643835615,6.93432465753425,5.91865205479453,6.46066712328768,6.24806438356165,6.36969986301369
"13",1962,6.18989589041095,6.84068493150685,6.99153972602739,6.00146438356164,6.42609999999999,6.37507123287671,6.02161232876712,6.53922739726027,6.21976301369863,7.31935890410959,6.49247178082191
"14",1963,7.63384109589041,6.55203287671234,6.16809589041096,6.02835068493151,6.68624657534246,6.25630821917808,5.59319589041096,5.90067534246576,5.45922876712329,6.97277808219178,6.32507534246575
"15",1964,6.56269398907103,6.1214781420765,6.40264480874317,6.62671857923497,6.12400819672131,5.66270765027322,6.94340846994536,6.33715027322404,6.1037349726776,7.07833333333333,6.39628784153006
"16",1965,6.09104383561644,5.31403835616438,6.05800958904109,5.07062054794521,6.44344520547946,6.00798219178082,5.46975342465754,6.2705301369863,6.53007671232876,6.36929589041096,5.96247958904109
"17",1966,5.43235205479452,6.11356438356164,5.87843424657534,6.25117397260274,6.82484520547946,6.40219041095891,7.14013561643835,6.27028082191781,7.03528904109589,6.03108219178083,6.33793479452055
"18",1967,6.70514109589041,6.97047671232876,6.38478356164383,6.55103561643835,5.20834794520548,5.56079041095891,4.99593424657534,5.57202739726028,5.91711643835616,6.47114931506849,6.03368027397261
"19",1968,4.90715027322404,5.84307513661202,6.5408893442623,5.83025956284153,6.07095081967214,6.00121038251367,6.6951325136612,5.91584836065574,6.27846721311475,6.57088524590164,6.06538688524591
"20",1969,5.89223561643835,6.8518904109589,5.99408493150685,6.01568767123288,5.98038082191781,6.56554520547945,5.61269589041096,6.94027808219178,6.80808082191781,6.2105794520548,6.28714589041096
"21",1970,7.0051904109589,6.27657397260274,6.86158767123288,6.97620273972603,6.74109452054794,6.60510410958904,5.84916301369863,7.05698767123287,6.69995342465753,6.62813150684931,6.66999890410959
"22",1971,6.33400547945206,5.98296849315069,5.88644931506849,6.10797671232877,6.49053835616439,6.9488506849315,6.7233095890411,5.98200821917808,6.47272739726028,5.36613835616438,6.22949726027398
"23",1972,6.69543442622951,6.5649781420765,6.82129234972678,6.33739071038252,5.7215,6.02546584699453,5.99056967213115,6.32411338797814,7.33022131147541,6.36161202185793,6.41725778688525
"24",1973,6.72537808219178,6.36919178082192,5.90685890410959,6.96332328767123,6.80840136986301,5.97918356164384,6.64016849315068,5.90295479452055,6.68637123287671,6.32169041095891,6.43035219178083
"25",1974,6.32061369863014,7.16041369863013,6.21473150684932,6.83773424657535,7.67096849315069,5.87950273972603,6.44078493150685,6.96598219178082,6.96475479452054,6.15154520547945,6.66070315068493
