"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,3.146,2.402,3.991,5.9525,-0.967,7.116,1.7745,4.525,2.053,3.8365,6.30385
"2",1950,2,4.1985,5.6095,6.795,8.982,5.7565,8.014,3.836,5.674,6.704,7.6575,8.6161
"3",1950,3,6.941,8.4785,8.596,10.683,7.3805,8.6875,3.5605,5.184,5.154,9.217,10.26785
"4",1950,4,13.823,6.2485,10.832,13.9335,11.497,9.927,10.7835,7.633,8.987,11.176,14.35005
"5",1950,5,12.9195,14.206,16.0535,11.3845,14.168,11.4195,11.001,17.2205,12.4145,16.094,17.1689
"6",1950,6,17.403,16.636,14.6235,17.9035,11.281,16.175,19.706,19.644,20.3885,16.424,20.8885
"7",1950,7,21.157,20.2905,18.4155,24.7575,21.972,21.496,21.5175,24.849,20.5195,24.2655,24.2456
"8",1950,8,18.2135,21.6125,20.2755,20.0115,19.3345,21.1545,21.7575,19.7635,20.246,18.336,23.97465
"9",1950,9,18.1145,14.897,12.511,18.0925,15.671,17.407,18.166,18.0235,13.578,15.34,19.66345
"10",1950,10,14.552,12.702,12.9385,8.8365,13.442,14.519,13.0905,14.1485,15.4695,15.026,15.71
"11",1950,11,6.8855,5.0765,7.2245,7.107,4.54,5.897,4.303,8.613,6.4485,6.507,8.96425
"12",1950,12,1.9555,4.913,3.772,4.0615,5.132,5.379,3.0765,1.367,0.199,0.846,5.8527
"13",1951,1,0.747,4.133,4.5675,2.849,4.284,2.5455,5.233,3.061,0.4125,4.9445,6.6841
"14",1951,2,6.265,5.294,4.687,8.671,7.2185,3.286,4.598,6.0405,5.874,6.4395,8.1878
"15",1951,3,8.4325,8.5475,6.162,7.7145,6.7365,5.8415,6.53,7.7045,6.765,13.796,10.8842
"16",1951,4,7.7935,6.084,8.746,9.5935,12.2415,7.4895,13.2305,13.799,13.8845,10.249,12.7877
"17",1951,5,7.9175,13.587,15.188,12.8085,10.994,13.757,13.3385,13.858,16.678,15.258,16.56615
"18",1951,6,18.527,18.648,15.1015,16.527,14.437,18.1305,17.042,15.34,18.8335,16.096,19.1912
"19",1951,7,19.5055,20.4005,22.2955,21.583,20.4,20.8585,19.114,22.452,23.156,23.6405,24.241
"20",1951,8,19.966,19.4985,19.924,19.722,18.867,18.4705,18.815,24.334,20.707,17.7535,22.9481
"21",1951,9,17.084,14.17,13.001,17.313,16.9665,18.594,15.099,16.4645,15.321,15.3155,20.1477
"22",1951,10,15.4585,11.599,14.0465,7.388,11.7765,14.1725,12.7905,13.447,13.01,12.6385,14.65185
"23",1951,11,6.066,7.02,5.6715,5.7005,6.078,6.581,6.215,5.9625,7.8095,5.8705,8.2843
"24",1951,12,2.6625,0.148,3.745,4.294,1.0395,2.889,3.429,9.3405,3.2865,2.4645,5.95875
"25",1952,1,2.4145,3.042,5.714,3.8085,2.682,6.8665,1.1215,4.6005,2.8015,5.7525,6.2748
"26",1952,2,4.695,7.1735,4.911,4.614,7.4185,8.0435,6.8365,6.737,7.2775,8.108,8.57905
"27",1952,3,7.489,8.467,4.4585,9.0395,3.677,5.8905,9.9485,9.243,8.3425,8.665,11.13625
"28",1952,4,11.0425,7.396,7.7935,12.1475,8.624,3.8545,10.561,10.3525,9.904,10.598,13.0957
"29",1952,5,11.6575,13.0675,14.2075,12.3575,14.25,10.3725,11.2395,12.5275,11.1245,14.5745,15.07285
"30",1952,6,12.576,15.072,20.9385,18.062,18.0265,19.0235,17.9105,17.2425,19.1785,18.7715,19.75155
"31",1952,7,22.064,23.0655,21.4885,20.812,18.8565,21.225,22.319,21.6835,22.553,21.669,25.04175
"32",1952,8,22.274,16.642,19.6845,18.149,19.907,20.677,19.506,21.0135,21.923,18.605,23.3012
"33",1952,9,15.3155,16.068,16.356,19.0905,20.643,15.887,16.69,15.4085,20.8285,12.4945,20.0721
"34",1952,10,10.522,14.396,11.5885,9.1445,11.673,14.279,10.4785,15.7875,11.7525,13.6865,15.14645
"35",1952,11,6.4495,8.987,4.2115,5.5285,8.299,7.1475,4.3035,7.3735,7.2535,10.57,9.87905
"36",1952,12,2.899,3.06,3.9745,2.065,2.1925,2.9345,0.967,5.4585,4.125,3.058,7.0269
"37",1953,1,-1.189,2.537,1.3545,2.019,3.0195,4.227,4.2975,4.2875,3.673,2.9975,4.88365
"38",1953,2,6.7385,6.813,4.4425,3.921,5.2075,6.065,5.577,6.7505,7.4965,4.756,8.54455
"39",1953,3,9.7055,8.5475,4.5205,9.9725,9.4025,7.9975,8.5075,9.034,8.0725,6.9875,10.6178
"40",1953,4,8.5405,8.226,7.7315,11.6155,10.517,7.1875,9.5245,10.575,11.2725,9.784,14.01595
"41",1953,5,18.8845,13.6605,13.718,16.0005,10.9085,14.55,13.779,14.4835,11.44,13.5655,18.43865
"42",1953,6,18.186,17.283,14.2425,20.226,18.602,15.4225,15.7945,19.7305,17.3925,22.398,21.00685
"43",1953,7,21.8555,18.459,22.39,23.886,20.3605,17.965,21.9415,20.2115,21.3325,23.3885,24.8525
"44",1953,8,18.3585,21.2295,19.615,22.824,20.578,16.3035,17.7155,17.926,22.6575,23.242,22.5313
"45",1953,9,19.698,17.614,17.7585,16.6455,18.0025,15.3465,13.393,15.857,20.61,14.33,20.44345
"46",1953,10,13.004,11.71,14.538,12.77,11.568,13.4375,14.662,13.801,15.4115,11.655,15.34745
"47",1953,11,6.646,7.368,4.088,5.1725,7.093,7.0315,7.9755,5.6195,8.111,8.88,9.2832
"48",1953,12,8.283,3.7605,-3.052,0.4245,4.277,2.754,3.752,4.083,5.287,5.0375,6.49525
"49",1954,1,4.2585,4.473,1.656,5.645,1.364,3.5605,4.8735,4.3805,2.5405,1.88,6.50605
"50",1954,2,7.9995,3.6695,6.9205,9.2625,6.3175,3.308,6.9035,6.1635,8.1715,6.766,8.946
"51",1954,3,5.25,5.826,7.2285,7.841,8.1055,8.2605,8.728,8.131,7.955,7.0155,10.12925
"52",1954,4,10.95,8.4775,12.468,11.156,12.485,10.711,12.117,9.96,10.359,8.228,12.8833
"53",1954,5,13.704,12.4875,12.7185,12.2675,13.379,10.988,12.625,11.654,10.5545,11.217,15.24385
"54",1954,6,20.1635,17.3695,20.85,16.974,17.6955,19.6655,18.311,18.6535,17.5235,20.6575,21.8067
"55",1954,7,22.015,20.501,19.343,22.4765,21.1285,20.677,23.12,15.31,20.4485,21.387,24.08055
"56",1954,8,13.648,18.662,20.2065,20.563,20.2975,18.7155,21.439,19.1725,20.796,21.094,22.36855
"57",1954,9,16.877,13.167,16.4495,18.4345,17.7785,18.4625,18.267,20.039,18.1775,18.0755,21.3284
"58",1954,10,13.911,11.1155,13.751,5.287,8.469,8.788,12.554,16.012,12.4095,14.2215,14.3561
"59",1954,11,7.372,8.8045,5.774,7.6215,8.39,7.9175,8.161,7.244,7.932,9.435,10.2603
"60",1954,12,4.138,3.79,3.7725,5.639,0.9815,5.9785,-1.243,2.311,4.639,3.9825,6.3391
"61",1955,1,3.0175,2.0865,2.573,4.364,3.7025,6.1145,1.397,2.4075,3.19,0.62,5.5222
"62",1955,2,6.8915,3.695,7.585,7.537,4.135,6.8695,6.9115,6.508,6.769,4.589,8.67805
"63",1955,3,4.3015,5.135,8.3525,8.0815,9.5375,7.94,5.2845,8.176,7.3475,7.5945,9.34725
