"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1.3445,1.4675,3.347,4.131,-1.6815,5.533,0.7205,0.692,-0.557,0.754,5.7358
"2",1951,-0.48,-0.6185,3.458,2.5745,1.2755,2.318,3.216,2.2285,-0.8695,2.388,5.75975
"3",1952,1.975,2.2825,3.834,0.421,1.5095,2.2365,0.366,4.27,1.3725,3.202,6.11355
"4",1953,-1.376,2.6525,-2.486,-0.117,2.81,2.094,3.714,4.5345,2.895,2.4575,4.97225
"5",1954,3.473,3.3825,2.1145,4.747,0.669,2.4325,-1.565,2.2775,2.409,0.509,5.98295
"6",1955,-0.7435,1.2765,1.615,1.371,3.829,4.5805,2.666,1.971,3.3595,-0.45,5.26575
"7",1956,-0.7575,3.1015,1.6405,2.7075,2.0655,0.8645,0.812,-0.2565,3.0585,3.1415,5.3159
"8",1957,1.155,2.436,0.332,1.532,1.1545,4.737,1.076,1.1895,1.8665,1.899,5.7536
"9",1958,-0.2525,2.627,2.3105,1.3135,1.9855,2.5835,0.5015,3.5555,2.441,4.2465,5.80315
"10",1959,1.2355,1.418,2.377,-0.5025,4.778,1.7715,3.096,2.8105,1.431,3.274,6.1692
"11",1960,1.4955,2.9285,2.949,0.9755,-0.2365,1.0845,2.781,2.3075,1.8705,2.5095,5.9185
"12",1961,2.9235,4.202,3.4255,-2.348,1.108,2.2145,4.138,2.8625,1.401,-1.2735,5.6747
"13",1962,1.2145,3.6245,2.5025,0.6655,3.1375,3.8295,0.9625,1.404,-0.5895,2.701,5.44005
"14",1963,-0.9425,3.5025,-0.629,3.244,3.167,-1.953,-3.0405,1.843,2.095,4.844,4.67445
"15",1964,1.239,2.4305,3.406,4.2555,3.6615,2.6855,2.5195,-1.279,3.4745,2.605,5.8644
"16",1965,0.3235,-3.394,3.175,-2.8115,1.782,2.1255,2.6345,-1.24,0.2615,4.3965,4.94395
"17",1966,1.7335,0.289,1.303,-1.61,0.4585,1.847,2.2335,2.008,2.9535,0.985,4.8584
"18",1967,-1.2505,1.389,2.859,1.1105,0.0415000000000001,-0.3705,1.085,1.3785,-0.234,2.6265,5.12685
"19",1968,-2.531,1.706,0.2215,-1,-0.626,2.6785,2.3135,-1.255,1.9665,1.45,4.58235
"20",1969,-2.738,5.3335,2.2205,-0.3465,1.9365,0.73,3.156,4.4855,3.122,3.7705,6.1121
"21",1970,2.5405,1.0625,-2.3325,5.034,0.9385,-0.6175,0.997,1.8425,1.1275,0.898,5.112
"22",1971,2.0935,2.8855,1.6305,-1.4885,1.3765,2.984,-1.507,0.3825,1.035,-1.302,5.29155
"23",1972,3.1745,3.4275,3.726,1.315,2.03,4.229,0.218,1.5985,3.2525,0.777,5.3972
"24",1973,2.882,2.1765,0.7875,0.19,1.41,0.5,0.4335,-0.5935,1.5485,3.1005,5.8463
"25",1974,4.188,3.6415,2.85,-1.676,4.985,2.664,4.4295,2.2975,2.4,2.492,6.642
"26",1975,-0.412,0.246,-1.8095,1.0065,4.047,0.276,2.241,2.1845,0.431,2.839,6.22775
"27",1976,-0.172,2.394,1.881,0.658,3.1805,1.6065,2.2075,1.126,0.873,1.3995,5.01605
"28",1977,2.394,2.418,2.1375,2.223,1.892,2.657,-0.311,2.4465,1.204,1.766,5.60965
"29",1978,-0.928,0.9865,2.873,3.5665,1.2235,-2.6115,-1.3,3.872,2.034,1.1215,5.85215
"30",1979,3.0955,4.3505,1.9905,0.0950000000000002,3.676,2.0265,3.4845,0.0125000000000002,-0.3495,3.9075,4.3532
"31",1980,4.264,3.91,1.229,2.4375,2.3475,-0.6475,1.5635,2.642,1.032,1.0665,5.12805
"32",1981,2.817,3.7755,5.1815,4.6315,-3.0005,1.768,0.131,2.502,1.649,2.501,6.6465
"33",1982,1.4925,4.102,2.997,-0.2555,-0.2035,3.3805,0.756,2.349,1.2985,1.3835,5.5703
"34",1983,2.8585,1.5595,2.965,3.651,-0.332,2.875,0.2925,0.6565,1.83,-0.321,6.5455
"35",1984,2.606,4.777,-0.8925,-0.1015,4.4295,1.757,-0.3695,4.405,2.189,0.832,5.70165
"36",1985,2.825,1.903,3.4635,2.3315,2.4255,-0.152,2.8955,0.6575,-2.339,0.077,5.3913
"37",1986,0.8835,-0.531,-2.8915,4.5835,4.2755,3.6675,2.392,0.419,4.812,0.213,5.4796
"38",1987,-0.6,1.998,1.85,3.8275,0.921,1.312,-1.0835,-0.7675,0.5095,1.904,5.4695
"39",1988,4.39,-0.3925,3.148,4.7635,3.155,2.2005,3.749,0.92,1.132,3.026,5.7708
"40",1989,-1.203,2.278,1.0205,2.899,2.626,-0.2585,3.0105,4.166,3.4775,0.5155,5.47665
"41",1990,1.819,4.7885,-1.5225,1.717,3.357,-0.7145,3.487,-3.3235,1.9935,2.4295,5.42
"42",1991,1.59,-1.572,2.1155,2.047,3.3125,-0.5465,2.749,4.733,1.6705,4.1335,5.3427
"43",1992,1.85,1.485,-1.5405,-1.7795,0.4345,1.617,2.991,3.3475,2.408,2.436,5.9829
"44",1993,1.944,3.608,0.2965,3.058,-0.31,-1.7855,1.951,3.366,3.651,1.3125,5.1818
"45",1994,-0.4815,3.384,-1.0445,1.272,0.0219999999999998,1.8125,0.83,2.729,3.201,3.7985,5.50615
"46",1995,1.5135,3.769,1.5065,0.987,2.2675,0.408,2.7295,1.7295,3.766,1.9705,5.923
"47",1996,0.8335,4.7185,4.2465,2.7825,5.293,2.414,-0.569,2.9435,3.116,1.087,7.31395
"48",1997,2.1135,0.818,3.2535,2.9645,5.6785,1.432,0.864,4.586,3.783,4.992,7.47365
"49",1998,4.5835,4.139,3.035,3.089,3.055,3.4805,4.687,3.688,6.0515,1.8855,7.00545
"50",1999,3.187,3.3035,3.0965,2.6525,-0.348,-2.7245,1.3625,2.331,2.3925,4.734,5.91435
"51",2000,3.2645,4.3965,0.8955,-2.9605,2.258,1.807,-2.314,1.54,1.036,3.4,5.41515
"52",2001,4.0685,2.6755,4.221,4.527,3.0665,-0.3615,-0.0629999999999997,1.9975,2.519,1.432,5.32625
"53",2002,4.6365,2.4655,4.573,-0.4975,2.484,-0.6795,1.698,3.4165,4.923,-2.967,5.24275
"54",2003,-1.363,2.411,4.9995,1.1485,2.373,0.8365,1.634,0.699,-3.13,3.0155,5.3962
"55",2004,2.2275,3.604,4.668,4.3185,2.688,2.08,1.9895,3.788,3.9515,4.777,6.82765
