"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,16.8364753424658,16.4910082191781,16.7242191780822,17.4957191780822,16.8063424657534,17.1192164383562,17.6803082191781,16.8517931506849,16.3535342465753,16.6660205479452,16.9024636986301
"2",1951,16.3043753424657,16.3907095890411,16.1101260273973,16.3250082191781,16.1548438356164,16.6097191780822,16.8205397260274,17.1909657534247,16.9666904109589,17.5716260273973,16.6444604109589
"3",1952,16.2575218579235,16.5557281420765,16.815043715847,16.1070327868853,17.0606734972678,17.2843606557377,16.9786270491803,17.1392773224044,17.2387486338798,17.2319863387978,16.8669
"4",1953,17.5189315068493,16.5907821917808,16.3331561643836,17.0842246575343,16.5030602739726,16.5735205479452,16.8637328767123,17.152795890411,17.4310547945205,17.2863493150685,16.9337608219178
"5",1954,17.1254821917808,16.0786821917808,17.0357328767123,16.9484671232877,16.7868698630137,16.3145917808219,16.84,17.3233643835617,16.9625479452055,17.1270657534247,16.8542804109589
"6",1955,16.601495890411,16.5089479452055,17.0810246575343,16.591198630137,16.4950712328767,16.3159739726027,17.5025945205479,16.9551397260274,16.4378589041096,17.3455301369863,16.7834835616438
"7",1956,16.42218715847,16.8080683060109,16.3518142076503,16.5685683060109,16.4402213114754,16.5329084699453,16.9030191256831,17.0816284153006,16.6961256830601,16.6317568306011,16.6436297814207
"8",1957,17.1061712328767,16.5011684931507,16.1136438356164,16.373301369863,16.3788164383562,16.1569739726027,16.5344068493151,16.8644369863014,16.9943726027397,17.6846890410959,16.6707980821918
"9",1958,17.0195383561644,15.8085767123288,16.6814835616438,16.8367931506849,16.1647931506849,16.0479397260274,16.7607438356164,16.7447589041096,16.7062315068493,16.9221082191781,16.5692967123288
"10",1959,16.657395890411,16.4662493150685,17.0874356164384,16.6761109589041,17.6142150684932,16.3586232876712,16.3976479452055,16.5908315068493,16.3713561643836,17.0448178082192,16.7264683561644
"11",1960,16.3697991803279,16.4511557377049,16.7849822404372,16.7176079234973,16.7252472677596,17.0203674863388,16.7647896174863,16.7356366120219,17.1414631147541,16.9718674863388,16.7682916666667
"12",1961,17.1427315068493,16.1359315068493,16.9202383561644,16.299401369863,17.2162383561644,16.0788424657534,17.3217780821918,16.7161534246575,17.1490821917808,16.5312616438356,16.751165890411
"13",1962,16.7497178082192,16.8840273972603,16.9630931506849,16.7406890410959,16.7641904109589,16.6580123287671,16.7620369863014,17.180701369863,16.698495890411,17.2174794520548,16.8618443835616
"14",1963,17.8109534246575,16.7855397260274,16.5541342465753,16.6706945205479,16.967298630137,16.9036794520548,16.2469219178082,16.2225383561644,16.0555246575342,16.9724260273973,16.7189710958904
"15",1964,17.3194398907104,16.6983128415301,17.0149918032787,17.1272909836066,16.5450040983606,16.2810792349727,17.5402281420765,16.8872513661202,16.3898715846995,17.2910273224044,16.909449726776
"16",1965,16.4436438356165,15.8184164383562,16.1601876712329,15.5066643835616,16.409394520548,16.5765260273973,16.3920643835617,16.6504095890411,17.1199479452055,17.0574547945206,16.4134709589041
