"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,32.5265,31.842,34.092,31.8235,31.456,32.783,35.1485,32.8855,30.7845,32.0995,28.9699
"2",1951,32.1705,34.2195,31.758,33.3685,31.8925,33.089,31.0695,32.8075,33.094,33.61,28.91555
"3",1952,32.483,30.9365,33.347,31.0395,31.592,30.7255,31.2535,33.0705,32.334,31.6845,29.4909
"4",1953,32.3605,33.5975,32.354,35.5225,31.9825,33.1925,32.1755,33.581,32.2385,31.6415,30.11385
"5",1954,32.9625,32.6045,31.1925,31.4155,30.8705,32.2005,33.7495,33.9275,33.3935,34.6735,29.4754
"6",1955,31.86,32.918,30.624,32.2525,30.901,31.5595,34.4635,31.817,30.2535,32.4155,29.06035
"7",1956,31.575,32.26,32.0375,32.046,31.9675,33.0985,31.7745,32.256,34.515,31.845,29.56345
"8",1957,32.005,31.896,36.215,33.859,32.9385,30.778,30.8055,31.2135,34.4725,32.879,29.7821
"9",1958,32.2045,31.499,31.6985,32.1675,31.0235,29.151,33.638,32.8225,32.6365,32.042,29.35895
"10",1959,32.9215,29.7335,31.5085,33.408,32.0825,32.3795,31.6275,30.546,33.1255,32.1355,28.76495
"11",1960,31.338,31.9175,32.7555,33.001,31.4355,32.875,33.367,33.84,34.397,29.621,29.84365
"12",1961,33.621,34.04,33.623,31.958,31.4525,33.342,33.05,31.067,31.12,31.0895,29.6483
"13",1962,32.0745,34.0215,32.423,31.4415,29.732,30.577,32.7865,32.372,31.036,33.5575,29.2821
"14",1963,30.6045,35.646,31.8835,30.7745,32.228,30.235,33.8905,33.138,34.0235,31.243,29.30105
"15",1964,34.022,33.3875,35.2075,31.065,32.5465,32.3575,31.51,34.261,33.106,31.785,29.15095
"16",1965,32.6075,32.9815,32.4785,29.851,30.6865,32.5075,31.579,33.6315,31.3255,31.509,28.8882
"17",1966,31.321,32.254,32.4125,32.398,33.702,32.9655,33.9595,34.1555,30.601,30.2485,29.3327
"18",1967,31.9165,32.174,32.363,33.787,31.5085,33.17,35.212,31.2045,30.598,30.216,29.11035
"19",1968,29.792,36.1375,35.0325,34.0265,33.1545,30.954,33.0375,31.2715,33.309,31.3335,29.31315
"20",1969,31.5535,35.1605,32.1255,30.9845,31.707,33.1785,30.8805,31.653,31.277,31.7565,28.401
"21",1970,32.4625,30.9275,33.15,32.6305,32.3255,32.0725,32.3535,34.5155,31.1,32.104,29.95695
"22",1971,32.1975,34.4335,32.9375,31.565,32.6725,32.9045,33.3565,32.1445,34.1475,32.0485,29.72285
"23",1972,29.507,32.012,31.73,30.9715,31.42,30.821,32.3885,32.946,32.2365,34.668,29.1163
"24",1973,31.656,34.847,31.9185,32.342,32.481,33.9365,34.4775,31.8685,32.1095,33.914,30.07705
"25",1974,32.567,33.183,31.2685,31.7095,33.027,32.7005,31.8465,31.6845,32.6535,34.1105,29.69525
"26",1975,33.1315,34.1775,32.361,33.4565,31.4225,31.8405,32.984,31.497,34.8455,30.393,29.1747
"27",1976,32.6905,32.84,30.9305,32.9315,31.6125,32.894,32.3035,32.7045,32.826,32.132,29.93045
"28",1977,31.0865,33.2455,31.111,31.5745,31.067,32.7995,32.347,32.9685,32.494,31.512,29.30545
"29",1978,34.001,33.2205,31.499,31.602,31.923,33.432,34.9265,32.076,32.522,32.879,29.33445
"30",1979,32.887,31.3345,30.9335,31.4435,32.683,32.8725,31.281,32.2165,31.4335,32.284,28.8214
"31",1980,30.9605,32.869,34.329,34.0845,32.281,33.349,32.4785,34.376,30.683,33.6245,29.66945
"32",1981,34.4225,32.328,34.3615,31.9265,31.113,32.48,34.7145,34.462,30.566,31.398,30.03445
"33",1982,31.383,31.379,32.954,33.04,32.834,35.719,30.2125,30.3485,33.217,32.5705,29.08465
"34",1983,31.791,32.787,30.1655,33.12,32.81,33.391,31.942,33.338,32.576,33.032,29.15445
"35",1984,31.313,33.126,32.803,31.525,31.3005,33.6225,32.564,31.606,31.022,32.494,29.77175
"36",1985,31.286,33.526,31.6455,33.034,32.983,31.324,31.5925,32.5075,34.2645,31.308,29.8739
"37",1986,32.7835,31.339,34.318,33.0745,32.465,30.948,30.252,32.4615,31.9255,31.645,28.8092
"38",1987,33.0285,32.7475,32.5455,34.7135,32.578,34.2645,32.6625,34.424,32.086,32.1445,30.6326
"39",1988,35.042,32.431,32.9695,34.8615,32.7215,31.868,32.693,33.3975,32.5465,32.068,29.6879
"40",1989,32.8725,31.4175,34.853,31.7975,31.6715,33.223,30.931,31.7915,34.142,31.6005,30.3092
"41",1990,31.764,31.653,33.0835,33.06,33.424,32.4535,33.325,32.9815,32.0275,33.121,29.09155
"42",1991,34.0225,36.5705,33.5155,33.1295,33.865,31.968,32.6035,31.9225,31.682,32.9435,31.2097
"43",1992,32.8595,30.287,33.8995,30.861,34.5255,32.3725,33.2525,34.4755,33.7265,31.404,28.9358
"44",1993,31.9425,34.741,32.1215,31.501,31.928,33.227,30.8515,30.489,32.1035,29.5925,29.0868
"45",1994,32.281,33.261,31.9335,33.3085,32.638,32.5395,32.5755,34.1085,32.506,30.051,29.61585
"46",1995,31.412,33.149,32.7355,32.426,33.4235,33.1755,31.9955,32.1425,31.3845,33.7275,29.6512
"47",1996,33.376,32.822,34.246,35.1945,30.895,35.6365,30.9785,32.899,30.975,31.0455,29.11645
"48",1997,31.3395,36.424,31.558,32.2585,32.7,33.899,30.654,31.8615,33.8165,33.7815,29.7368
"49",1998,31.222,34.1895,30.63,32.3025,35.7935,32.0925,34.001,35.2135,33.9765,32.9425,30.0789
"50",1999,33.9205,32.4375,34.8715,35.181,32.6345,30.8635,31.1565,32.921,31.227,32.6215,29.5424
"51",2000,32.5695,35.817,33.14,33.831,30.7625,32.909,32.627,32.143,33.275,32.475,30.60465
"52",2001,33.845,31.8555,31.928,33.431,33.2795,32.6685,30.8595,30.8035,32.0085,33.321,29.69965
"53",2002,32.7835,33.152,32.4065,33.8895,31.632,32.6075,32.374,33.7185,33.1225,31.768,30.1839
"54",2003,33.4035,33.5155,31.947,33.7825,32.7355,32.7595,30.3345,32.6585,33.412,33.385,30.08405
"55",2004,32.511,32.6245,33.515,33.4085,34.407,34.598,35.842,33.335,32.822,31.6875,30.585
"56",2005,32.9535,34.5935,34.66,33.7385,32.1185,33.129,33.1955,31.3925,32.8495,31.6875,30.1797
"57",2006,33.338,32.1,34.714,34.141,33.115,33.815,32.0885,33.148,32.669,35.478,30.0839
"58",2007,32.332,33.331,34.211,36.6165,35.5885,33.466,36.752,33.766,32.4545,32.974,30.91785
"59",2008,32.611,34.025,35.396,34.3095,34.948,31.758,33.589,34.1705,32.5815,34.9575,30.56965
"60",2009,35.0205,34.4165,32.5265,34.2275,34.385,30.634,32.4705,33.5095,35.4455,31.4985,30.2766
"61",2010,32.6275,33.654,35.4035,32.5015,31.9435,33.1535,32.479,32.9015,31.5655,35.5875,30.687
