"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,30.2005,33.0655,32.7875,29.87,28.4975,30.238,31.0285,30.88,29.161,30.3625,26.1064
"2",1951,28.437,33.2405,29.922,28.61,30.1975,30.682,28.8595,30.5485,29.6205,30.708,25.9657
"3",1952,28.4635,30.414,29.6545,30.035,30.494,28.383,29.1975,28.9535,30.157,30.0255,26.51475
"4",1953,29.1925,31.6165,28.8925,34.294,28.7245,30.182,31.3925,30.366,31.0195,28.8135,26.86075
"5",1954,31.0175,29.636,28.242,29.37,28.588,29.639,31.3795,30.3425,29.0005,31.6205,26.35285
"6",1955,29.186,31.835,29.337,29.7575,28.0975,29.246,32.655,29.6585,27.3625,30.6875,25.6369
"7",1956,29.4365,30.381,29.884,30.6495,29.6245,30.368,30.821,29.638,30.9995,30.066,25.89945
"8",1957,30.2335,28.7645,31.4645,32.592,30.8765,27.661,28.831,30.039,31.1305,28.976,26.56625
"9",1958,29.598,31.2535,29.2705,29.319,27.665,27.8665,31.18,30.6725,31.3835,29.9405,26.27225
"10",1959,29.9755,31.0745,30.2245,29.9285,29.5495,30.3025,28.9175,28.1875,29.73,27.792,26.6174
"11",1960,30.5185,31.054,29.908,30.093,29.9445,30.592,29.431,30.074,30.3105,28.3245,26.5374
"12",1961,30.5165,31.138,29.796,29.5985,29.095,31.207,30.5635,29.1135,29.215,27.721,26.304
"13",1962,30.461,30.4545,30.003,29.094,27.218,31.1465,29.706,31.029,30.157,29.481,25.6617
"14",1963,29.8775,31.5835,29.6085,29.81,29.175,27.999,29.4615,30.682,31.5085,28.9565,26.2937
"15",1964,31.644,32.261,30.8935,29.0035,29.626,29.0085,30.466,30.0415,31.071,29.077,26.5932
"16",1965,29.658,29.2355,31.539,29.204,27.6645,30.809,29.79,30.5375,28.7685,28.622,26.0503
"17",1966,29.296,31.736,30.214,28.7255,29.127,30.058,30.594,30.0425,28.726,29.4785,26.07245
"18",1967,29.2675,31.2785,29.5135,30.402,28.382,31.2215,30.58,28.9555,28.1325,28.9695,25.48345
"19",1968,28.8555,32.705,30.0495,32.4205,30.8185,29.4785,30.087,28.3595,31.664,30.63,26.1623
"20",1969,29.118,31.1565,30.531,30.5695,29.242,29.29,29.8425,29.93,29.403,29.791,25.42395
"21",1970,30.679,30.334,30.858,30.4375,30.2515,29.6635,28.5825,29.4905,28.856,28.7865,27.099
"22",1971,29.201,31.411,28.981,28.1765,30.7595,29.954,29.067,28.4875,33.086,30.1525,26.54615
"23",1972,28.035,33.865,31.76,31.02,28.103,29.49,30.425,28.532,29.33,30.262,25.8564
"24",1973,29.062,35.223,29.5795,30.0935,29.5745,31.4535,32.6035,29.761,29.3735,30.1895,27.6327
"25",1974,29.4545,32.208,28.943,29.6005,30.9015,31.907,30.085,29.6665,31.284,33.455,26.58385
"26",1975,28.8705,31.8395,30.5415,30.5145,29.975,28.8725,29.962,28.3175,29.9615,28.7055,25.50755
"27",1976,30.884,32.8785,28.0775,29.9455,29.333,30.4745,29.075,30.2815,31.207,28.6535,27.5715
"28",1977,29.2815,30.309,28.55,29.5795,28.4535,29.5195,30.3305,28.895,31.8385,29.0105,26.9611
"29",1978,30.929,30.677,29.6765,29.4635,30.2245,31.8485,30.8065,30.557,31.1325,30.211,26.4173
"30",1979,30.5845,29.306,28.1415,28.731,29.392,29.408,29.907,30.4275,28.9065,30.6265,25.7391
"31",1980,27.7465,29.414,30.975,30.6025,30.388,31.3775,31.578,30.5365,29.283,30.9895,25.6748
"32",1981,31.2505,29.065,31.526,30.2585,28.173,30.5765,31.8895,31.7665,27.149,28.178,26.532
"33",1982,31.1595,29.838,29.6825,30.86,31.349,32.107,28.888,26.8635,30.951,29.4245,25.8555
"34",1983,30.5675,29.5605,27.244,30.5845,29.229,29.956,28.0145,33.416,28.4065,29.695,26.03445
"35",1984,30.3705,30.259,30.3475,30.628,29.866,32.367,30.531,30.1025,28.225,31.2145,27.007
"36",1985,30.3235,32.2755,27.917,30.0735,30.408,29.049,29.363,31.354,28.002,28.0795,26.71235
"37",1986,30.8335,29.3705,31.119,31.778,30.5835,30.3675,29.295,30.4225,30.0575,29.572,26.03685
"38",1987,31.274,30.311,30.238,29.8005,29.2545,30.4595,32.686,32.3965,29.2975,29.399,27.7105
