"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,30.1845,33.4155,33.3875,29.1975,30.4485,30.7665,33.852,31.6425,30.2455,29.7195,27.64855
"2",1951,29.962,31.6795,30.432,29.5005,30.3415,31.8165,30.0695,32.279,31.125,31.709,26.59265
"3",1952,31.179,31.167,31.9775,29.462,31.0835,29.7515,30.781,29.844,31.1635,29.1045,27.1571
"4",1953,31.108,30.155,29.947,36.033,27.9805,32.296,33.26,29.542,33.679,30.2445,27.4011
"5",1954,31.3865,29.618,30.568,30.97,27.7255,30.457,32.553,30.631,30.283,32.64,26.9848
"6",1955,32.1745,33.2425,30.2295,30.0415,28.884,30.851,30.4875,29.7565,29.328,29.8855,26.199
"7",1956,30.2445,30.108,30.1705,30.0635,30.7355,29.681,30.0125,30.1875,32.1905,31.625,26.8881
"8",1957,29.756,29.1565,33.495,32.936,31.701,28.8655,30.185,30.195,31.3265,30.39,27.46245
"9",1958,30.674,29.9735,32.161,30.8785,29.41,29.612,31.3265,32.062,28.848,29.931,26.37945
"10",1959,31.1525,30.151,29.997,32.193,31.8125,30.751,29.6255,28.7085,31.094,30.943,25.993
"11",1960,31.41,31.198,30.805,32.0785,30.854,30.45,31.732,31.948,31.7085,30.7905,27.21965
"12",1961,30.5175,31.3165,31.23,30.379,31.2075,32.1155,30.878,31.6795,30.896,28.811,27.4181
"13",1962,32.695,31.622,31.5875,29.9995,26.8375,32.8605,31.6465,31.5255,29.2805,30.733,26.68125
"14",1963,30.0405,31.5825,31.3,30.2685,29.486,28.3845,30.393,31.2785,32.0565,28.727,26.08905
"15",1964,31.533,33.5695,30.2755,30.733,30.8185,29.579,32.728,32.434,32.8345,30.359,26.70065
"16",1965,30.6635,32.5515,32.252,30.3405,28.5875,31.307,29.575,31.755,28.7765,29.332,26.50315
"17",1966,30.409,31.005,30.871,30.576,30.7165,30.022,30.2395,31.972,30.1115,27.9305,27.096
