"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,-11.4385,-13.228,-10.0535,-8.471,-18.373,-11.654,-14.71,-12.061,-14.5225,-10.3755,-5.04965
"2",1951,-11.5285,-13.2965,-11.192,-10.232,-13.8675,-14.048,-9.926,-9.1685,-13.9265,-7.5045,-6.0665
"3",1952,-20.012,-14.9015,-11.905,-12.6305,-12.078,-11.413,-14.9055,-7.8825,-12.297,-7.45,-5.05745
"4",1953,-15.11,-10.546,-19.252,-16.331,-11.229,-11.9815,-11.7395,-8.3425,-9.437,-9.4285,-6.8599
"5",1954,-9.853,-13.6525,-11.27,-9.0185,-15.1645,-11.3615,-15.939,-8.4365,-9.9985,-13.3315,-4.9463
"6",1955,-15.0705,-13.526,-9.8045,-15.271,-12.6475,-7.644,-11.7035,-10.0035,-10.662,-13.5765,-5.8241
"7",1956,-8.5105,-11.653,-10.1125,-13.501,-11.3985,-9.3145,-16.1175,-14.3755,-9.582,-9.3115,-4.64405
"8",1957,-12.937,-11.496,-16.7155,-11.251,-13.848,-8.764,-11.7445,-12.469,-11.678,-9.7775,-6.1709
"9",1958,-9.7315,-9.574,-14.5285,-9.0055,-15.349,-10.068,-10.3705,-9.576,-11.206,-9.2695,-5.2573
"10",1959,-11.7075,-9.2965,-14.8515,-18.61,-11.476,-11.3155,-9.5755,-14.6495,-10.406,-7.3755,-5.0554
"11",1960,-10.4895,-14.2475,-10.1095,-14.3155,-12.3395,-13.7235,-9.5635,-8.4225,-15.598,-11.176,-5.65945
"12",1961,-10.8055,-8.819,-8.033,-17.5835,-13.8925,-11.469,-10.292,-13.257,-16.09,-17.624,-5.1
"13",1962,-13.767,-9.6015,-11.248,-15.1875,-9.149,-9.3595,-13.844,-14.351,-18.3135,-8.245,-5.94375
"14",1963,-13.573,-8.732,-12.5495,-11.9165,-9.2905,-17.019,-19.8375,-11.566,-11.1875,-7.5055,-5.78855
"15",1964,-9.4565,-13.1085,-9.732,-5.415,-9.288,-14.153,-11.3015,-8.431,-10.0385,-9.651,-5.05295
"16",1965,-12.6375,-20.668,-7.116,-17.801,-8.9725,-10.8785,-9.997,-14.841,-19.169,-7.2785,-5.70905
"17",1966,-11.7585,-13.889,-13.7215,-15.2525,-13.907,-13.2135,-9.2915,-11.0815,-8.4185,-11.223,-4.9692
"18",1967,-18.206,-12.3255,-13.2645,-11.8605,-17.5645,-16.0935,-10.703,-18.825,-13.968,-9.01,-5.99725
"19",1968,-14.169,-13.1935,-14.6255,-16.8415,-14.3885,-11.266,-15.214,-11.123,-10.3365,-14.3775,-6.24355
"20",1969,-17.54,-9.915,-12.2275,-11.3785,-11.6895,-9.3435,-7.8035,-11.7725,-8.698,-8.981,-4.7015
"21",1970,-9.3475,-10.54,-20.3865,-8.977,-14.462,-16.607,-13.8425,-9.6215,-11.0125,-12.644,-6.12855
"22",1971,-14.702,-12.1395,-10.349,-20.473,-16.574,-10.4795,-16.1935,-11.3235,-12.3675,-15.075,-5.7841
"23",1972,-10.16,-8.41,-9.3015,-11.7095,-10.9195,-11.783,-10.6145,-9.476,-8.381,-13.078,-4.6784
"24",1973,-9.642,-9.134,-13.868,-14.5225,-12.046,-13.39,-13.053,-11.0125,-12.9635,-14.3625,-4.61985
"25",1974,-10.809,-10.446,-14.352,-13.479,-9.169,-10.0035,-8.3485,-12.208,-8.9895,-10.39,-5.12445
"26",1975,-16.374,-12.852,-17.5235,-12.4165,-9.5045,-14.198,-9.67,-16.7905,-15.2095,-6.63,-5.52505
"27",1976,-16.628,-11.878,-14.865,-12.2835,-13.2025,-9.6305,-11.2585,-13.5915,-6.9295,-7.183,-5.4188
"28",1977,-9.2855,-14.643,-10.6065,-8.8065,-10.6525,-13.0235,-14.4835,-17.301,-10.874,-10.5015,-4.60255
"29",1978,-8.484,-13.865,-13.8895,-8.4885,-9.4195,-19.3885,-19.434,-9.68,-12.544,-13.849,-5.38295
"30",1979,-13.2655,-9.601,-16.5005,-11.5105,-9.379,-10.071,-9.8025,-16.676,-14.338,-8.8615,-5.81255
"31",1980,-7.961,-6.511,-16.72,-13.9705,-10.955,-11.947,-10.638,-9.941,-11.3285,-11.635,-4.8295
"32",1981,-9.5535,-10.169,-7.5095,-9.9545,-19.511,-15.262,-13.067,-9.1835,-10.914,-7.8795,-5.3802
"33",1982,-10.935,-11.713,-9.4915,-16.1615,-17.509,-11.947,-11.214,-8.0265,-10.6865,-10.121,-5.4853
"34",1983,-9.4935,-10.0225,-11.3245,-9.6715,-14.5855,-11.691,-17.408,-20.6375,-12.2575,-17.1105,-4.8159
"35",1984,-14.4835,-12.1475,-17.2435,-14.234,-10.342,-13.1005,-15.382,-9.695,-13.535,-8.7785,-6.13575
"36",1985,-13.7785,-12.0315,-11.1855,-9.476,-11.8905,-16.1565,-8.3685,-15,-11.1385,-18.2915,-6.3889
"37",1986,-16.404,-16.742,-19.1625,-8.9935,-11.6555,-9.8325,-11.946,-14.9765,-8.3935,-11.674,-5.7029
"38",1987,-13.9915,-11.214,-13.0435,-10.808,-11.811,-12.803,-11.705,-8.969,-9.5665,-11.3035,-5.8313
"39",1988,-8.3435,-19.3825,-10.809,-8.5625,-9.852,-12.3675,-9.612,-11.4855,-16.436,-7.5855,-4.0508
"40",1989,-12.6215,-14.1195,-12.2025,-11.692,-10.772,-21.1145,-7.8035,-12.718,-9.385,-12.8165,-4.99055
"41",1990,-8.764,-8.45,-17.26,-11.3965,-13.433,-12.111,-14.61,-20.6885,-10.255,-9.407,-4.695
"42",1991,-9.4495,-19.0995,-8.761,-16.098,-6.648,-11.105,-10.253,-10.113,-12.2955,-7.5665,-5.2834
"43",1992,-18.1835,-11.599,-19.9065,-20.3225,-13.6215,-8.229,-11.4705,-8.6045,-11.5225,-7.0625,-4.89275
"44",1993,-7.3435,-7.286,-17.5075,-10.597,-17.408,-17.7145,-11.1425,-10.973,-8.7755,-6.973,-6.871
"45",1994,-10.4995,-8.9835,-18.632,-14.6895,-13.0065,-9.0375,-14.9535,-11.482,-11.3075,-7.733,-5.2328
"46",1995,-14.456,-13.586,-13.091,-16.377,-13.897,-11.7875,-9.9325,-9.3635,-9.356,-12.0535,-5.8077
"47",1996,-18.178,-5.808,-8.1815,-9.752,-9.64,-9.867,-11.7195,-13.0585,-12.174,-15.242,-4.98735
"48",1997,-11.5635,-13.786,-9.119,-9.7485,-5.9235,-10.813,-16.6795,-9.7065,-12.776,-8.148,-3.66895
"49",1998,-10.0565,-11.892,-10.4375,-9.077,-10.4685,-9.3555,-8.6835,-13.038,-6.659,-10.915,-4.44335
"50",1999,-11.354,-14.0875,-10.59,-13.8415,-10.6825,-18.689,-9.9425,-10.2065,-11.882,-8.763,-5.53985
"51",2000,-7.366,-9.6325,-13.048,-19.0495,-8.796,-11.6565,-14.4695,-14.389,-11.689,-12.673,-5.54705
"52",2001,-12.4745,-11.071,-6.7795,-5.5425,-11.7965,-16.7925,-17.603,-18.011,-16.4175,-10.9295,-5.3142
"53",2002,-7.7355,-11.834,-8.5445,-13.3295,-8.358,-17.5435,-15.891,-9.295,-7.9775,-16.7905,-6.83425
"54",2003,-19.691,-12.428,-6.857,-16.006,-10.5705,-12.7315,-8.8405,-12.65,-18.5295,-10.5165,-6.83515
"55",2004,-10.406,-11.7895,-8.483,-7.586,-9.4705,-11.4955,-11.866,-10.365,-12.2835,-5.354,-5.0354
"56",2005,-8.996,-7.4075,-7.706,-14.1535,-20.993,-9.247,-9.728,-9.321,-10.9415,-12.3025,-3.5017
"57",2006,-11.091,-8.06,-10.5505,-6.5065,-10.1435,-12.095,-10.5105,-11.2085,-12.937,-7.142,-5.08155
"58",2007,-15.502,-7.4135,-13.1465,-8.2155,-10.352,-11.5075,-9.818,-12.444,-13.91,-14.435,-5.07065
"59",2008,-14.1315,-10.901,-11.991,-18.2695,-10.8595,-8.7895,-9.807,-13.766,-9.6125,-22.743,-4.80285
"60",2009,-8.6325,-6.607,-7.055,-17.436,-9.3,-7.791,-10.2305,-7.654,-13.5565,-14.4815,-5.2363
"61",2010,-14.6035,-7.4835,-12.0955,-6.7145,-7.9285,-10.8305,-14.56,-8.3695,-14.4085,-12.5075,-5.22145
"62",2011,-7.0685,-8.8855,-9.2385,-6.5475,-10.344,-8.1565,-10.4435,-14.019,-7.5245,-11.8335,-4.74665
"63",2012,-12.087,-13.7065,-7.105,-14.4075,-13.307,-5.5725,-10.2805,-8.6015,-8.9275,-7.181,-4.4713
"64",2013,-6.6275,-8.9315,-14.3565,-11.3055,-10.9265,-23.142,-7.1355,-14.7685,-9.4585,-6.724,-5.64925
"65",2014,-8.3265,-10.3275,-7.082,-8.2875,-7.9575,-8.604,-8.4615,-9.53,-11.049,-10.3535,-3.0817
"66",2015,-6.5595,-6.226,-6.537,-17.4065,-10.4635,-16.6085,-12.107,-16.3795,-9.579,-10.353,-3.43325
"67",2016,-9.206,-11.4975,-7.026,-14.707,-10.9755,-7.975,-16.805,-7.717,-10.0475,-12.152,-3.43475
