"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,3.3795,1.7645,-2.1195,6.865,0.5415,5.8655,2.3795,5.139,0.6185,5.766,6.1006
"2",1950,2,4.3325,5.234,-5.57,8.4295,5.4775,7.313,4.078,5.3055,5.8615,6.6825,7.4729
"3",1950,3,7.649,7.417,0.085,10.0385,7.919,7.6695,4.9755,6.931,6.4205,9.5095,9.3892
"4",1950,4,11.1525,8.491,-1.715,13.3895,11.7505,8.5485,13.9775,8.182,7.8555,10.7385,13.0721
"5",1950,5,9.536,13.9575,8.1065,10.1965,10.6835,11.952,11.6395,13.01,13.371,15.25,16.0464
"6",1950,6,17.222,13.9105,6.9205,16.6635,12.509,14.233,20.808,18.393,17.039,14.752,18.30955
"7",1950,7,21.741,18.1215,8.8115,22.426,19.772,19.941,22.14,21.3755,21,21.92,23.60945
"8",1950,8,18.081,22.023,10.122,21.5895,20.366,20.696,20.7015,19.5505,19.849,20.378,22.97785
"9",1950,9,16.3255,16.773,5.315,17.837,15.497,16.464,19.6595,18.6285,14.8975,17.354,18.6484
"10",1950,10,15.621,13.958,2.3835,8.2475,12.913,15.603,13.6055,13.897,14.78,14.2015,15.29665
"11",1950,11,6.3255,6.263,-3.458,6.805,5.18,6.4905,6.0685,8.453,5.792,6.9015,8.14615
"12",1950,12,3.823,4.3445,-3.023,3.958,5.8345,4.3305,4.6025,1.6695,0.093,2.232,6.24395
"13",1951,1,0.756,4.6995,-3.155,3.335,4.9585,2.8725,3.534,2.447,-1.346,4.947,6.07025
"14",1951,2,5.932,4.5605,-6.752,9.2455,7.3475,4.6525,5.6915,5.5515,4.8635,5.736,7.53955
"15",1951,3,9.461,7.5485,-5.907,6.0645,6.3535,5.745,5.4195,6.7275,5.0525,12.0225,9.22
"16",1951,4,6.9745,6.278,-4.295,9.5415,12.789,6.8755,12.9665,13.351,12.487,10.1605,11.3292
"17",1951,5,7.405,14.4005,2.783,10.5865,8.902,12.0175,14.571,13.5905,13.7735,15.241,15.0412
"18",1951,6,16.1505,19.507,6.108,17.9135,11.485,15.2595,14.107,11.634,18.4865,15.216,16.9542
"19",1951,7,20.167,19.195,14.3285,23.231,21.751,20.056,19.513,21.463,22.6355,24.499,23.7322
"20",1951,8,18.6835,21.712,14.122,19.761,18.719,18.9745,18.9885,22.1635,21.32,19.0085,22.5519
"21",1951,9,18.109,17.344,1.9885,15.1805,17.0335,18.3515,16.247,17.1025,15.9545,16.8965,19.49545
"22",1951,10,17.136,10.352,2.8485,6.643,10.3445,15.4385,10.717,11.3015,11.881,13.937,14.48965
"23",1951,11,5.965,6.7485,-1.0235,6.2495,6.7365,7.5575,7.5035,6.052,8.674,5.9,8.26685
"24",1951,12,2.062,1.083,-1.911,4.744,-0.172,4.0825,2.0745,6.509,3.069,4.04,5.2981
"25",1952,1,2.3735,1.445,0.4755,2.5495,4.1065,5.6415,0.907,2.841,4.989,4.719,5.88325
