"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,13.5835561643836,13.3991410958904,13.2583520547945,14.1327287671233,13.4369095890411,13.719602739726,13.8834684931507,13.7582438356164,13.4626260273973,13.2059561643836,13.5840584931507
"2",1951,13.1383041095891,13.0223876712329,12.7461178082192,12.7486739726027,12.5361219178082,13.1704315068493,13.5027534246575,13.9778534246575,13.9040849315069,14.1064191780822,13.2853147945205
"3",1952,12.8037090163934,13.2209945355191,13.3936379781421,13.1818879781421,13.6840792349727,14.0094918032787,13.7453934426229,14.3725368852459,13.9822923497268,13.8345519125683,13.6228575136612
"4",1953,14.3387726027397,13.3726821917808,13.0072191780822,14.2963164383562,13.1619616438356,13.1328726027397,13.821704109589,13.8874890410959,14.2233205479452,13.8271465753425,13.7069484931507
"5",1954,13.9170739726027,12.7271917808219,14.0926890410959,13.5373150684932,13.5444232876712,13.1500780821918,13.4697904109589,13.9905369863014,13.3149479452055,13.6477369863014,13.5391783561644
"6",1955,12.8781589041096,12.9457602739726,13.7854109589041,13.2495821917808,12.8960561643836,13.1128438356164,13.8884246575342,13.799797260274,12.9760575342466,14.1835739726027,13.3715665753425
"7",1956,12.9337663934426,13.4072513661202,12.9280300546448,13.3917527322404,12.8021775956284,13.5920601092896,13.3777295081967,13.7843292349727,13.5107254098361,13.4217308743169,13.3149553278688
"8",1957,13.7647054794521,12.9652438356164,12.6845767123288,13.2393232876712,13.2928794520548,13.2363397260274,13.2596082191781,13.6056780821918,13.578895890411,14.1391465753425,13.3766397260274
"9",1958,13.6929726027397,12.8176821917808,12.9846835616438,12.7520136986301,12.8498684931507,12.7697863013699,13.3683410958904,13.491905479452,13.4602342465753,13.6444876712329,13.1831975342466
"10",1959,13.2947835616438,13.3857821917808,13.7301246575342,13.0462630136986,14.144894520548,13.1668397260274,13.1730657534247,13.3632917808219,13.0296465753425,13.6837698630137,13.4018461643835
"11",1960,12.9615341530055,12.8785519125683,13.6580218579235,13.3269754098361,13.5740259562842,13.6986106557377,13.4376407103825,13.3160928961749,13.8324617486339,13.5977650273224,13.4281680327869
"12",1961,13.8458246575342,12.7144232876712,13.860197260274,13.0362397260274,13.7287904109589,12.8050506849315,13.9095095890411,12.9034945205479,13.4678,13.2937465753424,13.3565076712329
"13",1962,13.5307383561644,13.6299,14.0009328767123,12.7993164383562,13.4959369863014,13.4017082191781,12.8170301369863,13.5254082191781,13.2248493150685,14.2636082191781,13.4689428767123
"14",1963,14.6073342465753,13.6261136986301,13.352501369863,13.3250726027397,13.6187410958904,13.4048232876712,12.8423712328767,12.874997260274,12.3305493150685,14.1574821917808,13.413998630137
"15",1964,13.8290601092896,13.2743346994535,13.424337431694,14.1220368852459,13.1574726775956,12.9164480874317,13.9297267759563,13.4057213114754,12.9729535519126,14.1302704918033,13.5162362021858
"16",1965,13.2551191780822,12.3440671232877,12.8772424657534,12.3219260273973,13.0441630136986,12.9809863013699,12.6525136986301,13.081104109589,13.6223767123288,13.3330465753425,12.951254520548
"17",1966,12.6378904109589,13.3116479452055,12.6508753424658,13.0527698630137,13.7641712328767,13.396198630137,13.7632616438356,13.355598630137,13.9500465753425,12.8210095890411,13.2703469863014
"18",1967,13.7824465753425,14.0768780821918,13.3340876712329,13.7667589041096,12.4779561643836,12.9056315068493,12.0593465753425,12.6503575342466,13.1733561643836,13.4108109589041,13.1637630136986
