"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,16.535002739726,16.1637438356164,16.1533575342466,16.9989095890411,16.2597753424657,16.9974726027397,16.9974726027397,16.3992095890411,15.9597164383562,16.0574,16.4522060273973
"2",1951,15.8269054794521,15.7509191780822,15.6976945205479,15.8013520547945,15.7085356164383,16.3399301369863,16.3399301369863,16.8446438356164,16.7163095890411,17.2126917808219,16.2238912328767
"3",1952,15.7506489071038,16.203281420765,16.4220273224044,15.8962691256831,16.4077827868853,16.543443989071,16.543443989071,17.0465355191257,16.6617459016393,16.7649398907104,16.4240118852459
"4",1953,17.1213698630137,16.1086260273973,16.009695890411,16.9562726027397,16.3365630136986,16.6825520547945,16.6825520547945,16.6129246575343,17.0073205479452,16.7451109589041,16.6262987671233
"5",1954,16.8449520547945,15.478297260274,16.8895657534247,16.5359082191781,16.2921808219178,16.4022150684931,16.4022150684931,16.7207438356164,16.2213794520548,16.5389890410959,16.4326446575342
"6",1955,15.9104849315069,15.8100808219178,16.636197260274,16.132897260274,15.7541493150685,16.7629438356164,16.7629438356164,16.6634369863014,15.9174890410959,16.9896287671233,16.3340252054795
"7",1956,15.7279521857924,16.209825136612,15.8268292349727,16.2188975409836,15.9683401639344,16.4556598360656,16.4556598360656,16.9157322404372,16.4603852459016,16.1308661202186,16.2370147540984
"8",1957,16.6596438356164,15.9851547945205,15.5250890410959,16.2216726027397,15.8280342465753,16.1925794520548,16.1925794520548,16.3406260273972,16.709601369863,17.2892684931507,16.2944249315068
"9",1958,16.7148260273973,15.6068767123288,16.0685534246575,15.9698342465753,15.7321465753425,16.2347328767123,16.2347328767123,16.4252465753425,16.3769287671233,16.5459794520548,16.1909857534247
"10",1959,15.9975780821918,16.1971397260274,16.8899054794521,15.9175698630137,16.7821,15.9430739726027,15.9430739726027,16.3763506849315,16.0816630136986,16.3768465753425,16.2505301369863
"11",1960,15.7370519125683,15.8337595628415,16.6351653005465,16.5809098360656,16.2725928961748,16.2465204918033,16.2465204918033,16.2980177595628,16.8273114754098,16.5015341530055,16.3179383879781
"12",1961,16.6022054794521,15.7127698630137,16.534997260274,15.8667,16.859101369863,16.9514397260274,16.9514397260274,16.1654232876712,16.6471383561644,16.092994520548,16.4384209589041
"13",1962,16.3125835616438,16.499502739726,16.7803164383562,16.0866808219178,16.457295890411,15.9759863013699,15.9759863013699,16.4914726027397,16.0643123287671,17.0851342465753,16.3729271232877
"14",1963,17.4758082191781,16.3912602739726,16.3812109589041,16.1059109589041,16.6073835616438,15.6590739726027,15.6590739726027,15.6330315068493,15.2412424657534,16.9036465753425,16.2057642465753
"15",1964,16.9612404371585,16.0554494535519,16.4471803278689,16.8450614754098,16.042606557377,16.9299166666667,16.9299166666667,15.9822773224044,16.0870423497268,16.8855546448087,16.5166245901639
"16",1965,15.8148904109589,15.2630123287671,15.8274849315068,15.1308643835616,16.0122821917808,15.852902739726,15.852902739726,15.8897712328767,16.6461301369863,16.1771082191781,15.8467349315068
"17",1966,15.4949479452055,16.2040219178082,15.6638095890411,16.0237835616439,16.719598630137,16.7278109589041,16.7278109589041,16.2066095890411,17.0587904109589,15.7139849315069,16.2541168493151
"18",1967,16.7264657534247,16.8261602739726,16.2004794520548,16.5676410958904,15.4191219178082,15.1182589041096,15.1182589041096,15.4380109589041,15.7622178082192,16.1471767123288,15.9323791780822
"19",1968,14.9719166666667,15.7786229508197,16.570912568306,16.0189644808743,15.8884084699454,16.2639207650273,16.2639207650273,15.7963715846994,16.4492418032787,16.643099726776,16.0645379781421
"20",1969,15.6673602739726,16.7757712328767,16.0884178082192,15.5914301369863,15.7438493150685,15.6297698630137,15.6297698630137,16.6567739726027,16.6145684931507,16.0049493150685,16.0402660273973
"21",1970,17.0302342465753,15.8689260273973,16.543901369863,16.6318684931507,16.614,15.8843452054794,15.8843452054794,16.7788082191781,16.711295890411,16.3822178082192,16.4329942465753
"22",1971,16.3524945205479,15.6698808219178,15.7232178082192,16.0361849315068,16.384302739726,16.6159246575342,16.6159246575342,16.1794438356164,16.2149780821918,15.3621095890411,16.1154461643836
"23",1972,16.741737704918,16.3693879781421,16.6370887978142,16.3111297814208,15.5432855191257,15.9056953551913,15.9056953551913,15.6520136612022,17.1730601092896,16.081575136612,16.2320669398907
"24",1973,16.7100890410959,16.4226479452055,15.8391616438356,16.8010753424658,16.8262712328767,16.5931315068493,16.5931315068493,15.5824054794521,16.9343219178082,16.2089547945205,16.4511190410959
"25",1974,16.6863397260274,17.0214315068493,16.0101917808219,16.5835095890411,17.6665369863014,16.3677739726027,16.3677739726027,16.8150794520548,16.8453219178082,16.219898630137,16.6583857534246
"26",1975,16.4477808219178,16.5076232876712,15.9290191780822,16.2992356164384,16.575197260274,16.0453397260274,16.0453397260274,15.9919082191781,16.3033657534247,16.3507657534247,16.2495575342466
"27",1976,15.9955478142076,16.6558592896175,15.6229221311476,16.2342978142077,16.5382677595629,15.8847704918033,15.8847704918033,17.0701106557377,16.2681489071038,16.0554303278688,16.221012568306
"28",1977,16.809704109589,16.1738698630137,17.0227753424658,16.839997260274,16.4674,16.165195890411,16.165195890411,16.422102739726,16.6675808219178,16.1747178082192,16.4908539726027
"29",1978,16.5362821917808,16.4892136986301,16.5997,17.0188246575342,16.4119356164384,16.2034410958904,16.2034410958904,17.0846082191781,16.6672561643836,16.3077205479452,16.5522423287671
"30",1979,16.5633849315069,16.2704,16.4740479452055,15.7731794520548,16.0712369863014,16.9379383561644,16.9379383561644,16.7040630136986,15.8111438356164,16.1599534246575,16.370328630137
"31",1980,16.5753073770492,16.6860163934426,16.7293825136612,15.8633606557377,16.0241912568306,16.2112882513661,16.2112882513661,16.5212650273224,16.2480382513661,16.1115177595628,16.3181655737705
"32",1981,16.9399849315069,17.1732246575343,17.5609643835616,17.0234136986301,15.6590876712329,16.7182123287671,16.7182123287671,16.7694876712329,15.6826273972603,15.8175739726027,16.6062789041096
"33",1982,16.1398589041096,16.5920452054795,16.4403054794521,16.4165219178082,16.5628575342466,15.7716917808219,15.7716917808219,16.2996438356164,16.0999589041096,15.7433506849315,16.1837926027397
"34",1983,16.446497260274,16.3318479452055,16.662201369863,15.7494082191781,16.0977561643836,16.1725589041096,16.1725589041096,16.0394698630137,15.9854890410959,16.0260260273973,16.168381369863
"35",1984,15.2649371584699,16.5772240437158,16.5887172131148,16.1836174863388,16.175400273224,17.0657172131147,17.0657172131147,17.2582718579235,16.1963196721312,16.9786844262295,16.5354606557377
"36",1985,16.9761835616438,16.8285698630137,16.586902739726,16.3201630136986,16.4019863013699,16.5129054794521,16.5129054794521,16.756502739726,15.5883356164384,16.0192438356164,16.4503698630137
"37",1986,16.0195095890411,16.4907835616438,15.8320575342466,17.3418753424657,16.9364,16.7923123287671,16.7923123287671,16.8039808219178,17.6081780821918,16.5420753424657,16.7159484931507
"38",1987,16.7006246575342,16.4671109589041,16.5659506849315,17.2995383561644,16.3810082191781,16.3985671232877,16.3985671232877,16.8341575342466,16.2469082191781,16.0568904109589,16.5349323287671
"39",1988,16.6303920765027,16.3796598360656,16.964325136612,17.3066147540984,16.9618510928962,17.3082254098361,17.3082254098361,17.2923647540983,16.3098620218579,16.7027855191257,16.9164306010929
"40",1989,16.4618287671233,16.9134575342466,16.4170520547945,16.1118602739726,16.5516328767123,16.5198164383562,16.5198164383562,16.5393863013699,16.2090753424657,16.9768095890411,16.5220735616438
"41",1990,16.0731671232877,16.997795890411,16.0937589041096,16.1273904109589,17.5857876712329,16.8578191780822,16.8578191780822,16.0385684931507,16.137702739726,16.2289287671233,16.4998738356164
"42",1991,16.1630630136986,16.7880191780822,16.5465753424657,16.7539739726027,17.1066246575342,16.7149849315068,16.7149849315068,16.2700671232876,16.7433753424658,16.7073465753425,16.6509015068493
"43",1992,16.3374904371585,16.1399398907104,16.5279918032787,16.7150942622951,16.5051571038251,16.6876530054645,16.6876530054645,16.1807144808743,16.0215245901639,16.7806092896175,16.4583827868853
"44",1993,16.2736397260274,17.1893547945205,15.131994520548,16.661702739726,16.4729753424658,15.9651698630137,15.9651698630137,15.4731506849315,16.612798630137,15.9183342465753,16.1664290410959
"45",1994,16.6574726027397,16.343101369863,16.8174301369863,16.496897260274,16.4832684931507,16.5842246575342,16.5842246575342,16.7007328767123,16.9040191780822,16.7474397260274,16.6318810958904
"46",1995,15.5969561643836,16.9382506849315,16.0737068493151,16.1185904109589,16.6289,15.7027273972603,15.7027273972603,17.1671123287671,16.541502739726,16.2978246575343,16.2768298630137
"47",1996,16.4687131147541,17.3830655737705,18.1820204918033,16.6708210382514,17.2573674863388,16.7470464480874,16.7470464480874,16.4414275956284,15.788762295082,16.7115095628415,16.8397780054645
"48",1997,16.3418287671233,16.8024260273973,17.4844479452055,16.6407273972603,16.7312315068493,16.2245493150685,16.2245493150685,16.2025287671233,17.2038876712329,16.8256821917808,16.668185890411
"49",1998,16.9093794520548,17.1870794520548,16.7804164383562,16.3027890410959,17.5004356164384,17.3402917808219,17.3402917808219,16.4510876712329,17.490098630137,16.9988589041096,17.0300728767123
"50",1999,16.7897465753425,17.2841328767123,16.2209164383562,17.4161342465753,16.9797904109589,16.3919246575342,16.3919246575342,16.8328575342466,16.6756260273973,16.4598589041096,16.7442912328767
