"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,0.244,0.683,2.088,3.9105,-2.395,4.93,1.039,0.0460000000000003,-1.5575,-0.455,5.48175
"2",1951,-1.4275,-0.0695000000000001,2.2165,2.3205,0.2535,1.3295,3.206,2.0755,-1.6055,1.487,5.6659
"3",1952,1.187,1.729,3.1395,-1.1695,0.7905,0.0259999999999998,-0.518,3.22,1.6885,3.2635,5.5815
"4",1953,-0.4515,2.822,-2.5695,-0.9205,2.39,1.4645,2.974,3.782,2.7605,1.959,4.50575
"5",1954,3.5205,3.288,1.6265,3.704,0.256,1.3465,-1.818,1.1585,2.0355,-1.54,5.8943
"6",1955,-2.275,0.465,0.7335,1.9385,3.905,4.9555,1.773,1.301,2.777,-0.6085,4.97895
"7",1956,-1.2785,2.953,0.7555,2.2075,1.17,-0.0100000000000002,-0.3665,-1.369,1.873,2.5145,4.932
"8",1957,1.438,2.705,-1.446,1.001,0.3615,3.941,0.697,0.3505,1.621,1.1325,5.2877
"9",1958,-1.006,2.302,1.914,1.329,1.467,0.8435,-0.536,2.802,1.2585,3.3195,5.3359
"10",1959,1.037,1.4775,1.742,-1.5645,4.393,1.466,2.614,1.606,0.5,2.9375,5.97885
"11",1960,0.5715,1.372,2.361,1.1465,-1.4435,-1.116,2.393,1.645,0.1985,2.046,5.5471
"12",1961,1.306,3.5795,2.4245,-4.046,1.5205,1.9365,4.273,0.946,0.6155,-0.8595,4.89715
"13",1962,0.34,3.204,2.575,0.0404999999999998,2.078,3.7115,0.0954999999999999,0.6125,0.0955000000000001,2.225,4.73185
"14",1963,-1.8605,2.555,0.1065,2.4355,2.1655,-1.2885,-3.309,0.3665,1.6145,4.4915,4.18645
"15",1964,0.371,2.2855,1.9535,3.3135,2.733,1.824,1.7805,-1.185,2.963,2.17,5.56205
"16",1965,0.4265,-3.1425,2.7795,-3.076,0.305,1.5585,2.563,-1.586,0.993,2.596,5.0598
"17",1966,0.7785,-0.4805,0.4425,-2.6525,0.5515,0.4145,2.1805,0.7905,2.676,0.244,4.2622
"18",1967,-0.353,0.832,1.728,1.5695,-0.892,-0.528,0.0545,0.932,-1.545,1.622,4.8037
"19",1968,-3.288,1.793,-0.6335,-0.7085,-0.894,2.887,2.195,-2.104,1.205,0.845,4.06725
"20",1969,-2.223,4.626,1.8185,-1.0785,1.0285,0.8175,2.839,3.266,1.9645,2.9375,5.71535
"21",1970,1.9385,0.648,-3.473,5.436,0.1355,-0.788,-0.6215,2.075,-0.45,0.6245,4.78335
"22",1971,1.411,2.55,-0.5795,-2.095,0.78,2.539,-2.068,-0.7675,-0.475,-1.803,4.9906
"23",1972,3.3275,2.5225,2.48,0.846,2.3125,3.3535,-0.268,1.278,2.464,-0.314,4.9205
"24",1973,3.0325,1.6695,1.1535,-0.3895,0.677,-0.317,0.997,-2.9895,0.946,2.618,5.2361
"25",1974,3.7395,2.9495,2.0105,-0.3685,5.1025,2.634,4.3335,1.4885,0.7695,1.042,6.0096
"26",1975,-2.097,-0.781,-0.5125,-0.4745,3.583,-1.075,1.0025,2.7605,-0.307,2.2155,5.9149
"27",1976,-1.285,2.527,1.3255,-0.1545,2.78,1.7385,0.854,-0.5715,1.1045,1.239,4.57295
